"gender","age","attitude","deep","stra","surf","points"
"F",53,3.7,3.58333333333333,3.375,2.58333333333333,2.5
"M",55,3.1,2.91666666666667,2.75,3.16666666666667,1.2
"F",49,2.5,3.5,3.625,2.25,2.4
"M",53,3.5,3.5,3.125,2.25,1
"M",49,3.7,3.66666666666667,3.625,2.83333333333333,2.2
"F",38,3.8,4.75,3.625,2.41666666666667,2.1
"M",50,3.5,3.83333333333333,2.25,1.91666666666667,2.1
"F",37,2.9,3.25,4,2.83333333333333,3.1
"M",37,3.8,4.33333333333333,4.25,2.16666666666667,2.4
"F",42,2.1,4,3.5,3,2.6
"M",37,3.9,3.58333333333333,3.625,2.66666666666667,3.1
"F",34,3.8,3.83333333333333,4.75,2.41666666666667,3.1
"F",34,2.4,4.25,3.625,2.25,2.3
"F",34,3,3.33333333333333,3.5,2.75,2.5
"M",35,2.6,4.16666666666667,1.75,2.33333333333333,2.1
"F",33,4.1,3.66666666666667,3.875,2.33333333333333,3.1
"F",32,2.6,4.08333333333333,1.375,2.91666666666667,2
"F",44,2.6,3.5,3.25,2.5,2.2
"M",29,1.7,4.08333333333333,3,3.75,0.9
"F",30,2.7,4,3.75,2.75,2.4
"M",27,3.9,3.91666666666667,2.625,2.33333333333333,2.8
"M",29,3.4,4,2.375,2.41666666666667,3
"F",31,2.7,4,3.625,3,2.4
"F",37,2.3,3.66666666666667,2.75,2.41666666666667,0.9
"F",26,3.7,3.66666666666667,1.75,2.83333333333333,2.6
"F",26,4.4,4.41666666666667,3.25,3.16666666666667,3.2
"M",30,4.1,3.91666666666667,4,3,3.2
"F",33,3.7,3.75,3.625,2,3.3
"F",33,2.5,3.25,2.875,3.5,2.9
"M",28,3,3.58333333333333,3,3.75,3
"M",26,3.4,4.91666666666667,1.625,2.5,1.9
"F",27,3.2,3.58333333333333,3.25,2.08333333333333,2.3
"F",25,2,2.91666666666667,3.5,2.41666666666667,1.9
"F",31,2.4,3.66666666666667,3,2.58333333333333,1.2
"M",20,4.2,4.5,3.25,1.58333333333333,1
"F",39,1.6,4.08333333333333,1.875,2.83333333333333,1.1
"M",38,3.1,3.83333333333333,4.375,1.83333333333333,2
"M",24,3.8,3.25,3.625,2.41666666666667,2.6
"M",26,3.8,2.33333333333333,2.5,3.25,3.1
"M",25,3.3,3.33333333333333,1.25,3.41666666666667,2
"F",30,1.7,4.08333333333333,4,3.41666666666667,2.3
"F",25,2.5,2.91666666666667,3,3.16666666666667,1.2
"M",30,3.2,3.33333333333333,2.5,3.5,2.4
"F",48,3.5,3.83333333333333,4.875,2.66666666666667,1.7
"F",24,3.2,3.66666666666667,5,2.41666666666667,2.9
"F",40,4.2,4.66666666666667,4.375,3.58333333333333,2.3
"M",25,3.1,3.75,3.25,2.08333333333333,2.8
"F",23,3.9,3.41666666666667,4,3.75,3.1
"F",25,1.9,4.16666666666667,3.125,2.91666666666667,2.3
"F",23,2.1,2.91666666666667,2.5,2.91666666666667,2.5
"M",27,2.5,4.16666666666667,3.125,2.41666666666667,1.8
"M",25,3.2,3.58333333333333,3.25,3,1.9
"M",23,3.2,2.83333333333333,2.125,3.41666666666667,2.2
"F",23,2.6,4,2.75,2.91666666666667,2.5
"F",23,2.3,2.91666666666667,2.375,3.25,2.1
"F",45,3.8,3,3.125,3.25,0.9
"F",22,2.8,4.08333333333333,4,2.33333333333333,2.8
"F",23,3.3,2.91666666666667,4,3.25,2.5
"M",21,4.8,3.5,2.25,2.5,2.9
"M",21,4,4.33333333333333,3.25,1.75,3.3
"F",21,4,4.25,3.625,2.25,3.3
"F",21,4.7,3.41666666666667,3.625,2.08333333333333,2.5
"F",26,2.3,3.08333333333333,2.5,2.83333333333333,1.8
"F",25,3.1,4.58333333333333,1.875,2.83333333333333,2.2
"F",26,2.7,3.41666666666667,2,2.41666666666667,1.7
"M",21,4.1,3.41666666666667,1.875,2.25,2.5
"F",23,3.4,3.41666666666667,4,2.83333333333333,2.8
"F",22,2.5,3.58333333333333,2.875,2.25,2.2
"F",22,2.1,1.58333333333333,3.875,1.83333333333333,2.6
"F",22,1.4,3.33333333333333,2.5,2.91666666666667,1.1
"F",23,1.9,4.33333333333333,2.75,2.91666666666667,2.9
"M",22,3.7,4.41666666666667,4.5,2.08333333333333,2.2
"M",23,3.2,4.83333333333333,3.375,2.33333333333333,2.1
"M",24,2.8,3.08333333333333,2.625,2.41666666666667,2.8
"F",22,4.1,3,4.125,2.75,3.3
"F",23,2.5,4.08333333333333,2.625,3.25,1.6
"M",22,2.8,4.08333333333333,2.25,1.75,3.1
"M",20,3.8,3.75,2.75,2.58333333333333,2.2
"M",22,3.1,3.08333333333333,3,3.33333333333333,3.1
"M",21,3.5,4.75,1.625,2.83333333333333,2.3
"F",22,3.6,4.25,1.875,2.5,2.6
"F",23,2.6,4.16666666666667,3.375,2.41666666666667,1.2
"M",21,4.4,4.41666666666667,3.75,2.41666666666667,2.6
"M",22,4.5,3.83333333333333,2.125,2.58333333333333,3.1
"M",29,3.2,3.33333333333333,2.375,3,1.9
"F",29,3.9,3.16666666666667,2.75,2,3
"F",21,2.5,3.16666666666667,3.125,3.41666666666667,1.2
"M",28,3.3,3.83333333333333,3.5,2.83333333333333,1.7
"F",21,3.3,4.25,2.625,2.25,1.8
"F",30,3,3.83333333333333,3.375,2.75,1.9
"F",21,2.9,3.66666666666667,2.25,3.91666666666667,2.1
"M",23,3.3,3.83333333333333,3,2.33333333333333,2.4
"F",21,3.3,3.83333333333333,4,2.75,2.8
"F",21,3.5,3.83333333333333,3.5,2.75,1.7
"F",20,3.6,3.66666666666667,2.625,2.91666666666667,1.8
"M",22,3.7,4.33333333333333,2.5,2.08333333333333,1.7
"M",21,4.2,3.75,3.75,3.66666666666667,2.3
"M",21,3.2,4.16666666666667,3.625,2.83333333333333,2.6
"F",20,5,4,4.125,3.41666666666667,2.8
"M",22,4.7,4,4.375,1.58333333333333,3.1
"F",20,3.6,4.58333333333333,2.625,2.91666666666667,2.7
"F",20,3.6,3.66666666666667,4,3,2.5
"M",24,2.9,3.66666666666667,2.75,2.91666666666667,2.3
"F",20,3.5,3.83333333333333,2.75,2.66666666666667,2.1
"F",19,4,2.58333333333333,1.375,3,2.7
"F",21,3.5,3.5,2.25,2.75,2.8
"F",21,3.2,3.08333333333333,3.625,3.08333333333333,2.3
"F",22,2.6,4.25,3.75,2.5,2.1
"F",25,2,3.16666666666667,4,2.33333333333333,2.5
"F",21,2.7,3.08333333333333,3.125,3,1.1
"F",22,3.2,4.16666666666667,3.25,3,1.9
"F",25,3.3,2.25,2.125,4,2.4
"F",20,3.9,3.33333333333333,2.875,3.25,2.8
"M",24,3.3,3.08333333333333,1.5,3.5,2.1
"F",20,3,2.75,2.5,3.5,2.4
"M",21,3.7,3.25,3.25,3.83333333333333,2.4
"F",20,2.5,4,3.625,2.91666666666667,2
"F",20,2.9,3.58333333333333,3.875,2.16666666666667,1.9
"M",31,3.9,4.08333333333333,3.875,1.66666666666667,3
"F",20,3.6,4.25,2.375,2.08333333333333,2.2
"F",22,2.9,3.41666666666667,3,2.83333333333333,1.6
"F",22,2.1,3.08333333333333,3.375,3.41666666666667,1.6
"M",21,3.1,3.5,2.75,3.33333333333333,1.9
"M",22,4,3.66666666666667,4.5,2.58333333333333,3
"F",21,3.1,4.25,2.625,2.83333333333333,2.3
"F",21,2.3,4.25,2.75,3.33333333333333,1.9
"F",21,2.8,3.83333333333333,3.25,3,1.8
"F",21,3.7,4.41666666666667,4.125,2.58333333333333,2.8
"F",20,2.6,3.5,3.375,2.41666666666667,2.1
"F",21,2.4,3.58333333333333,2.75,3.58333333333333,1.9
"F",25,3,3.66666666666667,4.125,2.08333333333333,2.7
"M",21,2.8,2.08333333333333,3.25,4.33333333333333,2.4
"F",24,2.9,4.25,2.875,2.66666666666667,2.1
"F",20,2.4,3.58333333333333,2.875,3,2
"M",21,3.1,4,2.375,2.66666666666667,2.8
"F",20,1.9,3.33333333333333,3.875,2.16666666666667,1.2
"F",20,2,3.5,2.125,2.66666666666667,2.1
"F",18,3.8,3.16666666666667,4,2.25,2.8
"F",21,3.4,3.58333333333333,3.25,2.66666666666667,3.1
"F",19,3.7,3.41666666666667,2.625,3.33333333333333,1.8
"F",21,2.9,4.25,2.75,3.5,2.5
"F",20,2.3,3.25,4,2.75,1.9
"M",21,4.1,4.41666666666667,3,2,2.1
"F",20,2.7,3.25,3.375,2.83333333333333,1.6
"F",21,3.5,3.91666666666667,3.875,3.5,0.7
"F",20,3.4,3.58333333333333,3.25,2.5,2.1
"F",18,3.2,4.5,3.375,3.16666666666667,1.7
"M",22,3.3,3.58333333333333,4.125,3.08333333333333,2.2
"F",22,3.3,3.66666666666667,3.5,2.91666666666667,1.8
"M",24,3.5,2.58333333333333,2,3.16666666666667,2.5
"F",19,3.2,4.16666666666667,3.625,2.5,2.4
"F",20,3.1,3.25,3.375,3.83333333333333,2.3
"F",20,2.8,4.33333333333333,2.125,2.25,2.3
"F",17,1.7,3.91666666666667,4.625,3.41666666666667,2.6
"M",19,1.9,2.66666666666667,2.5,3.75,1.2
"F",20,3.5,3.08333333333333,2.875,3,3.2
"F",20,2.4,3.75,2.75,2.58333333333333,2.2
"F",20,2.1,4.16666666666667,4,3.33333333333333,2
"F",20,2.9,4.16666666666667,2.375,2.83333333333333,2.1
"F",19,1.9,3.25,3.875,3,2.3
"F",19,2,4.08333333333333,3.375,2.83333333333333,2
"F",22,4.2,2.91666666666667,1.75,3.16666666666667,2.8
"M",35,4.1,3.83333333333333,3,2.75,3.1
"F",18,3.7,3.16666666666667,2.625,3.41666666666667,1.8
"F",19,3.6,3.41666666666667,2.625,3,3
"M",21,1.8,4.08333333333333,3.375,2.66666666666667,1.9
